service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T2","0","0","0","0","0","1","0","20260515","20260521"
"T2_1","0","0","0","0","0","1","0","20260522","20260528"
"T2_2","0","0","0","0","0","1","0","20260529","20260816"
"T3","0","0","0","0","0","0","1","20260515","20260521"
"T3_1","0","0","0","0","0","0","1","20260522","20260528"
"T3_2","0","0","0","0","0","0","1","20260529","20260816"
"T5","0","0","0","1","0","0","0","20260514","20260514"
"T5_1","1","1","1","1","0","0","0","20260515","20260521"
"T5_2","1","1","1","1","0","0","0","20260522","20260528"
"T5_3","1","1","1","1","0","0","0","20260529","20260816"
"T5+rr","0","0","0","1","0","0","0","20260514","20260514"
"T5+ry","1","1","1","0","0","0","0","20260515","20260521"
"T5+rz","0","1","1","1","0","0","0","20260515","20260521"
"T5+sa","1","0","0","0","0","0","0","20260515","20260521"
"T5+sb","0","1","1","0","0","0","0","20260515","20260521"
"T5+sc","1","0","0","1","0","0","0","20260515","20260521"
"T5+sd","1","1","1","0","0","0","0","20260522","20260528"
"T5+WD08","0","0","0","1","0","0","0","20260515","20260521"
"T5+WD08_1","0","0","0","1","0","0","0","20260522","20260528"
"T5+WD08_2","0","0","0","1","0","0","0","20260514","20260514"
"T6","0","0","0","0","1","0","0","20260515","20260521"
"T6_1","0","0","0","0","1","0","0","20260522","20260528"
"T6_2","0","0","0","0","1","0","0","20260529","20260816"
"UW","1","0","0","0","0","0","0","20260529","20260816"
